Computer Name,Comment,Type,Domain
BAILLIEJ_HRS,,<unknown>,CORP_SERVICES
BAIRSM-OPA,,<unknown>,CORP_SERVICES
BAKERA,,<unknown>,CORP_SERVICES
BAKERA-ATVU,,<unknown>,OMPERTH
BAKERA-ATVU,,<unknown>,CORP_SERVICES
BAKERA-OM,,<unknown>,OMPERTH
BAKERA-PPP,,<unknown>,CORP_SERVICES
BAKERN-RGO,,<unknown>,RGO
BALLANTA,,<unknown>,CORP_SERVICES
BALLANTA-PPP,,<unknown>,CORP_SERVICES
BALLARDD,,<unknown>,LOCAL_COURT
BALLARDD,,<unknown>,CORP_SERVICES
BALLARDD-SBS,,<unknown>,CORP_SERVICES
BAND103116,,<unknown>,MOJ_MASTER
BAND103149,,<unknown>,OMMETROSOUTH
BAND103149,,<unknown>,OMMETRONORTH
BAND103533,,<unknown>,OMMETROSOUTH
BAND95453,,<unknown>,OMMETRONORTH
BAND98803,,<unknown>,OMMETRONORTH
BAND98857,,<unknown>,OMMETRONORTH
BAND98867,,<unknown>,OMMETROSOUTH
BAND98868,,<unknown>,OMMETRONORTH
BAND98884,,<unknown>,OMMETRONORTH
BAND98890,,<unknown>,OMMETRONORTH
BANJ101777,,<unknown>,MOJ_MASTER
BANJ103407,,<unknown>,MOJ_MASTER
BANJ103408,,<unknown>,MOJ_MASTER
BANJ103833,,<unknown>,OMMETROSOUTH
BANJ98961,,<unknown>,OMMETROSOUTH
BANJ98962,,<unknown>,OMMETROSOUTH
BANJ98965,,<unknown>,OMMETROSOUTH
BANJ98968,,<unknown>,OMMETROSOUTH
BANJ98974,,<unknown>,OMMETROSOUTH
BANK_EDU,,<unknown>,OMMETROSOUTH
BANKSK-REC,,<unknown>,CORP_SERVICES
BARBUZZD-OM,,<unknown>,OMPERTH
BARCODE-REC,,<unknown>,CORP_SERVICES
